origin_date,target,target_end_date,horizon,location,team_id,model_id,metric,value_absolute,value_relative,n_models,rank
2023-12-20,ARI incidence,2023-12-24,2,RO,respicast,hubEnsemble,WIS,114.126014883321,0.27792790140108614,7,2
2023-12-20,ARI incidence,2023-12-24,2,RO,respicast,quantileBaseline,WIS,158.053489540404,0.0,7,4
2023-12-20,ARI incidence,2023-12-24,2,SI,ECDC,ARI2MA,WIS,185.426245482447,0.0893307233272903,7,2
2023-12-20,ARI incidence,2023-12-24,2,SI,ECDC,norrsken_blue,WIS,925.970579441972,-3.547646184641404,7,7
2023-12-20,ARI incidence,2023-12-24,2,SI,ECDC,norrsken_green,WIS,725.988472245522,-2.5654898537819992,7,6
2023-12-20,ARI incidence,2023-12-24,2,SI,ISI,AriABCaster,WIS,188.198385524807,0.07571613084798334,7,3
2023-12-20,ARI incidence,2023-12-24,2,SI,ISI,GenLogModelAri,WIS,373.09063793504,-0.8323305878175999,7,5
2023-12-20,ARI incidence,2023-12-24,2,SI,respicast,hubEnsemble,WIS,184.770877463608,0.09254938052502248,7,1
2023-12-20,ARI incidence,2023-12-24,2,SI,respicast,quantileBaseline,WIS,203.615352172563,0.0,7,4
2023-12-20,ARI incidence,2023-12-31,3,BE,ECDC,ARI2MA,WIS,81.7388534239345,0.29865566578644465,7,1
2023-12-20,ARI incidence,2023-12-31,3,BE,ECDC,norrsken_blue,WIS,1633.2446461266,-13.01373803232359,7,6
2023-12-20,ARI incidence,2023-12-31,3,BE,ECDC,norrsken_green,WIS,3243.84394437648,-26.833172061540353,7,7
2023-12-20,ARI incidence,2023-12-31,3,BE,ISI,AriABCaster,WIS,706.192239060712,-5.05934515819606,7,5
2023-12-20,ARI incidence,2023-12-31,3,BE,ISI,GenLogModelAri,WIS,121.002214468553,-0.038235967229306445,7,3
2023-12-20,ARI incidence,2023-12-31,3,BE,respicast,hubEnsemble,WIS,121.527756452598,-0.04274527800945216,7,4
2023-12-20,ARI incidence,2023-12-31,3,BE,respicast,quantileBaseline,WIS,116.545966704916,0.0,7,2
2023-12-20,ARI incidence,2023-12-31,3,BG,ECDC,ARI2MA,WIS,259.367784950732,0.3764948527393617,7,2
2023-12-20,ARI incidence,2023-12-31,3,BG,ECDC,norrsken_blue,WIS,192.871392214156,0.5363483332068597,7,1
2023-12-20,ARI incidence,2023-12-31,3,BG,ECDC,norrsken_green,WIS,285.897754571137,0.3127183408717332,7,3
2023-12-20,ARI incidence,2023-12-31,3,BG,ISI,AriABCaster,WIS,515.67169549286,-0.23964491772751773,7,6
2023-12-20,ARI incidence,2023-12-31,3,BG,ISI,GenLogModelAri,WIS,564.909564808275,-0.3580099065180089,7,7
2023-12-20,ARI incidence,2023-12-31,3,BG,respicast,hubEnsemble,WIS,502.03627361013,-0.20686615250589457,7,5
2023-12-20,ARI incidence,2023-12-31,3,BG,respicast,quantileBaseline,WIS,415.983390177709,0.0,7,4
2023-12-20,ARI incidence,2023-12-31,3,CZ,ECDC,ARI2MA,WIS,414.091472177047,0.0832708994308734,7,1
2023-12-20,ARI incidence,2023-12-31,3,CZ,ECDC,norrsken_blue,WIS,17756.2021499755,-38.30925488731399,7,6
2023-12-20,ARI incidence,2023-12-31,3,CZ,ECDC,norrsken_green,WIS,21574.1353147876,-46.76151887094606,7,7
2023-12-20,ARI incidence,2023-12-31,3,CZ,ISI,AriABCaster,WIS,760.329381319733,-0.6832417876393899,7,5
2023-12-20,ARI incidence,2023-12-31,3,CZ,ISI,GenLogModelAri,WIS,751.509315207671,-0.663715639874594,7,4
2023-12-20,ARI incidence,2023-12-31,3,CZ,respicast,hubEnsemble,WIS,724.929708185908,-0.6048728457681662,7,3
2023-12-20,ARI incidence,2023-12-31,3,CZ,respicast,quantileBaseline,WIS,451.705385942226,0.0,7,2
2023-12-20,ARI incidence,2023-12-31,3,DE,ECDC,ARI2MA,WIS,657.555457616216,0.38345547715849515,7,1
2023-12-20,ARI incidence,2023-12-31,3,DE,ECDC,norrsken_blue,WIS,1795.264815759,-0.6832963309572238,7,7
2023-12-20,ARI incidence,2023-12-31,3,DE,ECDC,norrsken_green,WIS,1496.86703559118,-0.40350925770033874,7,5
2023-12-20,ARI incidence,2023-12-31,3,DE,ISI,AriABCaster,WIS,1168.92227399764,-0.09601801234127372,7,3
2023-12-20,ARI incidence,2023-12-31,3,DE,ISI,GenLogModelAri,WIS,1504.26194660774,-0.4104429571037149,7,6
2023-12-20,ARI incidence,2023-12-31,3,DE,respicast,hubEnsemble,WIS,1169.72111982019,-0.09676703512069618,7,4
2023-12-20,ARI incidence,2023-12-31,3,DE,respicast,quantileBaseline,WIS,1066.51739372479,0.0,7,2
2023-12-20,ARI incidence,2023-12-31,3,EE,ECDC,ARI2MA,WIS,127.654213939287,-0.16429985241487755,7,2
2023-12-20,ARI incidence,2023-12-31,3,EE,ECDC,norrsken_blue,WIS,715.56297288864,-5.526457983784503,7,7
2023-12-20,ARI incidence,2023-12-31,3,EE,ECDC,norrsken_green,WIS,517.229945175148,-3.7175156248143484,7,6
2023-12-20,ARI incidence,2023-12-31,3,EE,ISI,AriABCaster,WIS,265.790406665706,-1.4242030224035722,7,5
2023-12-20,ARI incidence,2023-12-31,3,EE,ISI,GenLogModelAri,WIS,234.316472867741,-1.1371377125712243,7,4
2023-12-20,ARI incidence,2023-12-31,3,EE,respicast,hubEnsemble,WIS,216.042110240417,-0.9704621516681688,7,3
2023-12-20,ARI incidence,2023-12-31,3,EE,respicast,quantileBaseline,WIS,109.640324762147,0.0,7,1
